iter	Passed	Remaining
887	4868	614
888	4873	608
889	4878	603
890	4884	597
891	4889	591
892	4894	586
893	4899	580
894	4904	575
895	4910	569
896	4915	564
897	4920	558
898	4925	553
899	4931	547
900	4936	542
901	4941	536
902	4946	531
903	4952	525
904	4957	520
905	4962	514
906	4967	509
907	4972	503
908	4977	498
909	4983	492
910	4988	487
911	4994	481
912	4999	476
913	5004	470
914	5011	465
915	5016	460
916	5021	454
917	5028	449
918	5033	443
919	5038	438
920	5046	432
921	5051	427
922	5057	421
923	5063	416
924	5068	410
925	5074	405
926	5079	400
927	5085	394
928	5091	389
929	5096	383
930	5101	378
931	5108	372
932	5113	367
933	5119	361
934	5127	356
935	5133	350
936	5138	345
937	5144	340
938	5150	334
939	5156	329
940	5161	323
941	5166	318
942	5173	312
943	5178	307
944	5183	301
945	5190	296
946	5196	290
947	5201	285
948	5208	279
949	5213	274
950	5219	268
951	5225	263
952	5231	257
953	5236	252
954	5242	247
955	5247	241
956	5252	236
957	5258	230
958	5263	225
959	5269	219
960	5274	214
961	5279	208
962	5284	203
963	5290	197
964	5295	192
965	5300	186
966	5306	181
967	5311	175
968	5316	170
969	5322	164
970	5327	159
971	5333	153
972	5338	148
973	5343	142
974	5349	137
975	5354	131
976	5359	126
977	5365	120
978	5370	115
979	5375	109
980	5381	104
981	5386	98
982	5391	93
983	5396	87
984	5402	82
985	5407	76
986	5412	71
987	5418	65
988	5423	60
989	5428	54
990	5435	49
991	5440	43
992	5445	38
993	5451	32
994	5457	27
995	5462	21
996	5468	16
997	5474	10
998	5479	5
999	5485	0
